,datetime,Open,Close,High,Low,Volume,AdjClose,serial_number
1016,1974-04-02 00:00:00-04:00,14.4765625,14.625,14.703125,14.4765625,505600.0,1.2605151,1016.0
1017,1974-04-03 00:00:00-04:00,14.6875,14.953125,14.96875,14.6875,480000.0,1.2887963,1017.0
1018,1974-04-04 00:00:00-04:00,14.953125,15.0078125,15.15625,14.90625,582400.0,1.2935095,1018.0
1019,1974-04-05 00:00:00-04:00,14.78125,14.59375,14.78125,14.578125,500800.0,1.2578225,1019.0
1020,1974-04-08 00:00:00-04:00,14.59375,14.421875,14.59375,14.390625,430400.0,1.2430091,1020.0
1021,1974-04-09 00:00:00-04:00,14.421875,14.5625,14.6875,14.4140625,428800.0,1.255128,1021.0
1022,1974-04-10 00:00:00-04:00,14.5625,14.390625,14.65625,14.375,625600.0,1.240315,1022.0
1023,1974-04-11 00:00:00-04:00,14.390625,14.34375,14.5,14.34375,576000.0,1.2362741,1023.0
1024,1974-04-15 00:00:00-04:00,14.34375,14.40625,14.59375,14.328125,494400.0,1.2416621,1024.0
1025,1974-04-16 00:00:00-04:00,14.453125,14.640625,14.65625,14.453125,484800.0,1.2618623,1025.0
1026,1974-04-17 00:00:00-04:00,14.640625,14.640625,14.71875,14.453125,553600.0,1.2618623,1026.0
1027,1974-04-18 00:00:00-04:00,14.640625,14.6875,14.8125,14.625,334400.0,1.2659025,1027.0
1028,1974-04-19 00:00:00-04:00,14.609375,14.4765625,14.609375,14.453125,467200.0,1.2477214,1028.0
1029,1974-04-22 00:00:00-04:00,14.4765625,14.40625,14.53125,14.359375,428800.0,1.2416621,1029.0
1030,1974-04-23 00:00:00-04:00,14.3984375,14.203125,14.3984375,14.203125,475200.0,1.2241553,1030.0
1031,1974-04-24 00:00:00-04:00,14.203125,13.9765625,14.234375,13.96875,772800.0,1.2046262,1031.0
1032,1974-04-25 00:00:00-04:00,13.90625,13.8515625,13.90625,13.671875,956800.0,1.1938542,1032.0
1033,1974-04-26 00:00:00-04:00,13.875,14.09375,14.171875,13.875,504000.0,1.2147275,1033.0
1034,1974-04-29 00:00:00-04:00,14.0625,14.03125,14.0625,13.8671875,600000.0,1.2093408,1034.0
1035,1974-04-30 00:00:00-04:00,14.03125,14.203125,14.3125,13.96875,577600.0,1.2241553,1035.0
1036,1974-05-01 00:00:00-04:00,14.203125,14.375,14.484375,14.109375,609600.0,1.2389684,1036.0
1037,1974-05-02 00:00:00-04:00,14.375,14.3359375,14.5,14.25,588800.0,1.2356011,1037.0
1038,1974-05-03 00:00:00-04:00,14.296875,14.140625,14.296875,14.03125,374400.0,1.2187674,1038.0
1039,1974-05-06 00:00:00-04:00,14.03125,14.015625,14.03125,13.84375,478400.0,1.2079945,1039.0
1040,1974-05-07 00:00:00-04:00,14.015625,14.2578125,14.28125,14.015625,288000.0,1.2288681,1040.0
1041,1974-05-08 00:00:00-04:00,14.2578125,14.125,14.28125,14.09375,452800.0,1.2242901,1041.0
1042,1974-05-09 00:00:00-04:00,14.125,14.40625,14.421875,14.09375,632000.0,1.2486683,1042.0
1043,1974-05-10 00:00:00-04:00,14.40625,14.0,14.40625,13.9140625,820800.0,1.2134564,1043.0
1044,1974-05-13 00:00:00-04:00,14.0,13.84375,14.0,13.6953125,764800.0,1.1999129,1044.0
1045,1974-05-14 00:00:00-04:00,13.859375,13.9375,14.03125,13.859375,387200.0,1.2080387,1045.0
1046,1974-05-15 00:00:00-04:00,13.9375,13.8984375,13.96875,13.7890625,382400.0,1.2046524,1046.0
1047,1974-05-16 00:00:00-04:00,13.8984375,13.75,13.984375,13.75,382400.0,1.1917876,1047.0
1048,1974-05-17 00:00:00-04:00,13.734375,13.640625,13.734375,13.59375,449600.0,1.1823078,1048.0
1049,1974-05-20 00:00:00-04:00,13.640625,13.640625,13.796875,13.59375,504000.0,1.1823078,1049.0
1050,1974-05-21 00:00:00-04:00,13.640625,13.59375,13.84375,13.5703125,524800.0,1.1782436,1050.0
1051,1974-05-22 00:00:00-04:00,13.59375,13.5078125,13.765625,13.4375,444800.0,1.1707958,1051.0
1052,1974-05-23 00:00:00-04:00,13.5078125,13.515625,13.546875,13.28125,617600.0,1.1714723,1052.0
1053,1974-05-24 00:00:00-04:00,13.515625,13.671875,13.671875,13.4375,688000.0,1.1850153,1053.0
1054,1974-05-28 00:00:00-04:00,13.671875,13.5625,13.71875,13.53125,496000.0,1.1755359,1054.0
1055,1974-05-29 00:00:00-04:00,13.5625,13.1640625,13.6171875,13.15625,625600.0,1.1410009,1055.0
1056,1974-05-30 00:00:00-04:00,13.1640625,13.40625,13.421875,13.1015625,731200.0,1.1619931,1056.0
1057,1974-05-31 00:00:00-04:00,13.40625,13.28125,13.4375,13.25,456000.0,1.151158,1057.0
1058,1974-06-03 00:00:00-04:00,13.28125,13.6875,13.6875,13.1875,606400.0,1.1863698,1058.0
1059,1974-06-04 00:00:00-04:00,13.6875,13.78125,13.875,13.671875,784000.0,1.1944958,1059.0
1060,1974-06-05 00:00:00-04:00,13.78125,13.7734375,13.90625,13.671875,428800.0,1.1938182,1060.0
1061,1974-06-06 00:00:00-04:00,13.7734375,14.21875,14.234375,13.71875,641600.0,1.232416,1061.0
1062,1974-06-07 00:00:00-04:00,14.296875,14.328125,14.5,14.296875,1048000.0,1.2418959,1062.0
